player_name,team_name,match_no,goals,assists,xg,BCM,dribbles,Chances_Created
Aaron Hickey,Scotland,7,0,0,0.0,0,0,2
Aaron Wan-Bissaka,DR Congo,21,0,0,0.0,0,1,0
Aaron Wan-Bissaka,DR Congo,48,0,0,0.0,0,0,0
Aaron Wan-Bissaka,DR Congo,70,0,0,0.0,0,1,3
Abbosbek Fayzullaev,Uzbekistan,24,1,0,0.98,0,0,0
Abbosbek Fayzullaev,Uzbekistan,45,0,0,0.02,0,0,1
Abbosbek Fayzullaev,Uzbekistan,70,0,0,0.05,0,0,0
Abdallah Nasib,Jordan,20,0,0,0.0,0,0,0
Abdallah Nasib,Jordan,44,0,0,0.0,0,0,0
Abdallah Nasib,Jordan,72,0,0,0.0,0,0,0
Abdelaziz Hatem,Qatar,49,0,0,0.0,0,0,1
Abdelmouhib Chamakh,Tunisia,12,0,0,0.0,0,0,0
Abdoulaye Seck,Senegal,62,0,1,0.05,0,0,1
Abdukodir Khusanov,Uzbekistan,24,0,0,0.0,0,0,0
Abdukodir Khusanov,Uzbekistan,45,0,0,0.0,0,1,0
Abdukodir Khusanov,Uzbekistan,70,0,0,0.0,0,0,0
Abdul Fatawu Issahaku,Ghana,23,0,0,0.02,0,1,1
Abdul Fatawu Issahaku,Ghana,46,0,0,0.0,0,1,0
Abdul Fatawu Issahaku,Ghana,67,0,0,0.04,0,2,1
Abdulelah Al-Amri,Saudi Arabia,15,1,0,0.49,0,0,0
Abdulelah Al-Amri,Saudi Arabia,37,0,0,0.08,0,0,0
Abdulelah Al-Amri,Saudi Arabia,63,0,0,0.01,0,0,1
Abdulkerim Bardakci,Türkiye,8,0,0,0.03,0,1,0
Abdulkerim Bardakci,Türkiye,32,0,0,0.02,0,1,2
Abdulkerim Bardakci,Türkiye,60,0,0,0.06,0,1,0
Abdulla Abdullaev,Uzbekistan,24,0,0,0.0,0,0,0
Abdulla Abdullaev,Uzbekistan,45,0,0,0.0,0,0,0
Abdullah Al-Hamdan,Saudi Arabia,15,0,0,0.0,0,0,0
Abdullah Al-Hamdan,Saudi Arabia,37,0,0,0.02,0,1,0
Abdullah Al-Hamdan,Saudi Arabia,63,0,0,0.14,0,0,0
Abdullah Al-Khaibari,Saudi Arabia,15,0,0,0.03,0,1,0
Abdullah Al-Khaibari,Saudi Arabia,37,0,0,0.0,0,1,0
Abdullah Al-Khaibari,Saudi Arabia,63,0,0,0.0,0,0,0
Abduvokhid Nematov,Uzbekistan,45,0,0,0.0,0,0,0
Abduvokhid Nematov,Uzbekistan,70,0,0,0.0,0,0,0
Achraf Hakimi,Morocco,6,0,0,0.18,0,0,3
Achraf Hakimi,Morocco,30,0,0,0.31,0,1,1
Achraf Hakimi,Morocco,51,1,1,1.34,0,5,7
Adam Hlozek,Czechia,2,0,0,0.18,0,0,0
Adam Hlozek,Czechia,25,0,0,0.04,0,0,0
Adam Hlozek,Czechia,53,0,0,0.0,0,1,2
Adil Boulbina,Algeria,19,0,0,0.0,0,0,0
Adrien Rabiot,France,17,0,1,0.0,0,0,2
Adrien Rabiot,France,42,0,0,0.57,1,0,0
Agustín Canobbio,Uruguay,15,0,0,0.02,0,1,0
Agustín Canobbio,Uruguay,39,1,0,0.62,0,0,2
Agustín Canobbio,Uruguay,64,0,0,0.07,0,0,0
Ahmadou Bamba Dieng,Senegal,17,0,0,0.0,0,0,0
Ahmed Al-Ganehi,Qatar,49,0,0,0.04,0,1,1
Ahmed Alaaeldin,Qatar,5,0,0,0.11,0,0,0
Ahmed Alaaeldin,Qatar,49,0,0,0.0,0,0,0
Ahmed Basil,Iraq,42,0,0,0.0,0,0,0
Ahmed Basil,Iraq,62,0,0,0.0,0,0,0
Ahmed Fathi,Qatar,5,0,0,0.0,0,0,1
Ahmed Fathi,Qatar,27,0,0,0.0,0,0,0
Ahmed Fathi,Qatar,49,0,0,0.0,0,0,0
Ahmed Fatouh,Egypt,14,0,0,0.0,0,0,1
Ahmed Fatouh,Egypt,40,0,0,0.06,0,1,1
Ahmed Fatouh,Egypt,65,0,0,0.0,0,2,2
Ahmed Hasan Maknazi,Iraq,62,0,0,0.0,0,2,0
Ahmed Nadhir Benbouali,Algeria,44,1,0,0.12,0,1,0
Ahmed Qasem,Iraq,18,0,0,0.0,0,0,0
Ahmed Qasem,Iraq,42,0,0,0.0,0,1,1
Ahmed Qasem,Iraq,62,0,0,0.0,0,0,0
Aiden O'Neill,Australia,8,0,0,0.0,0,1,1
Aiden O'Neill,Australia,29,0,0,0.0,0,1,0
Aiden O'Neill,Australia,59,0,0,0.02,0,1,2
Aimar Sher,Iraq,42,0,0,0.0,0,0,0
Aïssa Mandi,Algeria,19,0,0,0.0,0,0,1
Aïssa Mandi,Algeria,44,0,0,0.0,0,0,0
Aïssa Mandi,Algeria,71,0,0,0.0,0,0,1
Ajdin Hrustic,Australia,59,0,0,0.04,0,0,2
Akam Hashem,Iraq,18,0,0,0.03,0,3,0
Akam Hashem,Iraq,42,0,0,0.0,0,1,0
Akam Hashem,Iraq,62,0,0,0.0,0,0,0
Akmal Mozgovoy,Uzbekistan,24,0,0,0.07,0,1,0
Akmal Mozgovoy,Uzbekistan,45,0,0,0.0,0,0,0
