player_name,team_name,match_no,tackles,recoveries,gk_saves
Aaron Hickey,Scotland,7,0,0,0
Aaron Wan-Bissaka,DR Congo,21,2,5,0
Aaron Wan-Bissaka,DR Congo,48,5,4,0
Aaron Wan-Bissaka,DR Congo,70,1,1,0
Aaron Wan-Bissaka,DR Congo,80,2,0,0
Abbosbek Fayzullaev,Uzbekistan,24,1,2,0
Abbosbek Fayzullaev,Uzbekistan,45,2,2,0
Abbosbek Fayzullaev,Uzbekistan,70,3,3,0
Abdallah Nasib,Jordan,20,0,3,0
Abdallah Nasib,Jordan,44,3,1,0
Abdallah Nasib,Jordan,72,2,4,0
Abdelaziz Hatem,Qatar,49,1,2,0
Abdelmouhib Chamakh,Tunisia,12,0,5,1
Abdoulaye Seck,Senegal,62,0,2,0
Abdukodir Khusanov,Uzbekistan,24,2,3,0
Abdukodir Khusanov,Uzbekistan,45,0,4,0
Abdukodir Khusanov,Uzbekistan,70,3,6,0
Abdul Fatawu Issahaku,Ghana,23,0,3,0
Abdul Fatawu Issahaku,Ghana,46,1,3,0
Abdul Fatawu Issahaku,Ghana,67,0,1,0
Abdul Fatawu Issahaku,Ghana,88,0,2,0
Abdulelah Al-Amri,Saudi Arabia,15,1,3,0
Abdulelah Al-Amri,Saudi Arabia,37,0,2,0
Abdulelah Al-Amri,Saudi Arabia,63,2,5,0
Abdulkerim Bardakci,Turkiye,8,2,4,0
Abdulkerim Bardakci,Türkiye,32,2,5,0
Abdulkerim Bardakci,Türkiye,60,4,0,0
Abdulla Abdullaev,Uzbekistan,24,2,2,0
Abdulla Abdullaev,Uzbekistan,45,2,1,0
Abdullah Al-Hamdan,Saudi Arabia,15,0,0,0
Abdullah Al-Hamdan,Saudi Arabia,37,0,0,0
Abdullah Al-Hamdan,Saudi Arabia,63,0,0,0
Abdullah Al-Khaibari,Saudi Arabia,15,1,5,0
Abdullah Al-Khaibari,Saudi Arabia,37,1,2,0
Abdullah Al-Khaibari,Saudi Arabia,63,0,3,0
Abduvokhid Nematov,Uzbekistan,45,0,8,4
Abduvokhid Nematov,Uzbekistan,70,0,7,1
Achraf Hakimi,Morocco,6,6,5,0
