match_no,match_type,Group_name,home_team,HTG,ATG,away_team,winner,potm,stadium,city,referee,result_in
1,Group Stage,A,Mexico,2,0,South Africa,Mexico,Julián Quiñones,Estadio Azteca,Mexico City,Wilton Sampaio,FT
2,Group Stage,A,South Korea,2,1,Czechia,South Korea,Hwang In-beom,Estadio Akron,Guadalajara,Amin Omar,FT
3,Group Stage,B,Canada,1,1,Bosnia and Herzegovina,Draw,Ismael Kone,Toronto Stadium,Toronto,Facundo Tello,FT
4,Group Stage,D,USA,4,1,Paraguay,USA,Folarin Balogun,SoFi Stadium,Los Angeles,Danny Makkelie,FT
5,Group Stage,B,Qatar,1,1,Switzerland,Draw,Mahmud Abunad,Levi's Stadium,San Francisco Bay Area,Héctor Saíd Martínez Sorto,FT
6,Group Stage,C,Brazil,1,1,Morocco,Draw,Vinicius Junior,MetLife Stadium,New York,Slavko Vincic,FT
7,Group Stage,C,Haiti,0,1,Scotland,Scotland,John McGinn,Gillette Stadium,Boston,Mustapha Ghorbal,FT
8,Group Stage,D,Australia,2,0,Türkiye,Australia,Nestory Irankunda,BC Place,Vancouver,Jesús Noel Valenzuela Sáez,FT
9,Group Stage,E,Germany,7,1,Curaçao,Germany,Kai Havertz,NRG Stadium,Houston,Jalal Jayed,FT
10,Group Stage,F,Netherlands,2,2,Japan,Draw,Virgil Van Dijk,AT&T Stadium,Dallas,Ismail Elfath,FT
11,Group Stage,E,Ivory Coast,1,0,Ecuador,Ivory Coast,Yan Diomande,Lincoln Financial Field,Philadelphia,Michael Oliver,FT
12,Group Stage,F,Sweden,5,1,Tunisia,Sweden,Alexander Isak,Estadio BBVA,Monterrey,Yael Falcón Pérez,FT
13,Group Stage,H,Spain,0,0,Cape Verde,Draw,Vozinha,Mercedes-Benz Stadium,Atlanta,Adham Makhadmeh,FT
14,Group Stage,G,Belgium,1,1,Egypt,Draw,Emam Ashour,Lumen Field,Seattle,Ramon Abatti,FT
15,Group Stage,H,Saudi Arabia,1,1,Uruguay,Draw,Federico Valverde,Hard Rock Stadium,Miami,Maurizio Mariani,FT
16,Group Stage,G,Iran,2,2,New Zealand,Draw,Ramin Rezaeian,SoFi Stadium,Los Angeles,Cesar Ramos,FT
17,Group Stage,I,France,3,1,Senegal,France,Michael Olise,Metlife Stadium,New York,Alireza Faghani,FT
18,Group Stage,I,Iraq,1,4,Norway,Norway,Erling Haaland,Gillette Stadium,Boston,Pierre Ghislain Atcho,FT
19,Group Stage,J,Argentina,3,0,Algeria,Argentina,Lionel Messi,Arrowhead Stadium,Kansas City,Szymon Marciniak,FT
20,Group Stage,J,Austria,3,1,Jordan,Austria,Ali Olwan,Levi's Stadium,San Francisco Bay Area,Dahane Beida,FT
