player_id,player_name,player_age,playing_role,team_name
1,Santiago Gimenez,25,Forward,Mexico
2,Raul Jimenez,35,Forward,Mexico
3,Julian Quinones,29,Forward,Mexico
4,Armando Gonzalez,23,Forward,Mexico
5,Roberto Alvarado,27,Forward,Mexico
6,Guillermo Martinez,31,Forward,Mexico
7,Gilberto Mora,17,Midfielder,Mexico
8,Edson Alvarez,28,Midfielder,Mexico
9,Obed Vargas,20,Midfielder,Mexico
10,Alvaro Fidalgo,29,Midfielder,Mexico
11,Cesar Huerta,25,Forward,Mexico
12,Alexis Vega,28,Forward,Mexico
13,Orbelin Pineda,30,Midfielder,Mexico
14,Brian Gutierrez,22,Forward,Mexico
15,Luis Chavez,30,Midfielder,Mexico
16,Johan Vasquez,27,Defender,Mexico
17,Mateo Chavez,22,Defender,Mexico
18,Cesar Montes,29,Defender,Mexico
19,Jorge Sanchez,28,Defender,Mexico
20,Israel Reyes,26,Defender,Mexico
21,Erik Lira,26,Defender,Mexico
22,Jesus Gallardo,31,Defender,Mexico
23,Luis Romo,30,Defender,Mexico
24,Guillermo Ochoa,40,Goalkeeper,Mexico
25,Raul Rangel,26,Goalkeeper,Mexico
26,Carlos Acevedo,30,Goalkeeper,Mexico
27,Lyle Foster,25,Forward,South Africa
28,Evidence Makgopa,26,Forward,South Africa
29,Iqraam Rayners,30,Forward,South Africa
30,Relebohile Mofokeng,21,Forward,South Africa
31,Oswin Appollis,24,Forward,South Africa
32,Themba Zwane,36,Forward,South Africa
33,Teboho Mokoena,29,Midfielder,South Africa
34,Tshepang Moremi,25,Forward,South Africa
35,Thalente Mbatha,26,Midfielder,South Africa
36,Kamogelo Sebelebele,23,Forward,South Africa
37,Siphephelo Sithole,27,Midfielder,South Africa
38,Jayden Adams,25,Midfielder,South Africa
39,Thapelo Maseko,23,Forward,South Africa
40,Mbekezeli Mbokazi,20,Defender,South Africa
41,Khuliso Mudau,31,Defender,South Africa
42,Nkosinathi Sibisi,30,Defender,South Africa
43,Aubrey Modiba,30,Defender,South Africa
44,Samukelo Kabini,22,Defender,South Africa
45,Khulumani Ndamane,22,Defender,South Africa
46,Ime Okon,22,Defender,South Africa
47,Bradley Cross,25,Defender,South Africa
