PLAYER,POSITION,TEAM,GOALS,ASSISTS,xG,BCM,DRIBBLES,CHANCES_CREATED,TACKLES,RECOVERIES,SAVES
Aaron Hickey,Defender,Scotland,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Aaron Wan-Bissaka,Defender,DR Congo,0.0,0.0,0.0,0.0,2.0,3.0,8.0,10.0,0.0
Abbosbek Fayzullaev,Forward,Uzbekistan,1.0,0.0,1.05,0.0,0.0,1.0,6.0,7.0,0.0
Abdallah Nasib,Defender,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0
Abdelaziz Hatem,Midfielder,Qatar,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
Abdelmouhib Chamakh,Goalkeeper,Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Abdoulaye Seck,Defender,Senegal,0.0,1.0,0.05,0.0,0.0,1.0,0.0,2.0,0.0
Abdukodir Khusanov,Defender,Uzbekistan,0.0,0.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0
Abdul Fatawu Issahaku,Forward,Ghana,0.0,0.0,0.06,0.0,4.0,2.0,1.0,7.0,0.0
Abdulelah Al-Amri,Defender,Saudi Arabia,1.0,0.0,0.58,0.0,0.0,1.0,3.0,10.0,0.0
Abdulkerim Bardakci,Defender,Türkiye,0.0,0.0,0.11,0.0,3.0,2.0,8.0,9.0,0.0
Abdulla Abdullaev,Midfielder,Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
Abdullah Al-Hamdan,Forward,Saudi Arabia,0.0,0.0,0.16,0.0,1.0,0.0,0.0,0.0,0.0
Abdullah Al-Khaibari,Midfielder,Saudi Arabia,0.0,0.0,0.03,0.0,2.0,0.0,2.0,10.0,0.0
Abduvokhid Nematov,Goalkeeper,Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0
Achraf Hakimi,Defender,Morocco,1.0,1.0,1.83,0.0,6.0,11.0,8.0,15.0,0.0
Adam Hlozek,Forward,Czechia,0.0,0.0,0.22,0.0,1.0,2.0,2.0,2.0,0.0
Adil Boulbina,Midfielder,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adrien Rabiot,Midfielder,France,0.0,1.0,0.57,1.0,0.0,2.0,1.0,9.0,0.0
Agustín Canobbio,Forward,Uruguay,1.0,0.0,0.71,0.0,1.0,2.0,6.0,11.0,0.0
Ahmadou Bamba Dieng,Forward,Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ahmed Al-Ganehi,Forward,Qatar,0.0,0.0,0.04,0.0,1.0,1.0,1.0,2.0,0.0
Ahmed Alaaeldin,Forward,Qatar,0.0,0.0,0.11,0.0,0.0,0.0,1.0,2.0,0.0
Ahmed Basil,Goalkeeper,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0
Ahmed Fathi,Midfielder,Qatar,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0
Ahmed Fatouh,Defender,Egypt,0.0,0.0,0.06,0.0,3.0,4.0,6.0,6.0,0.0
Ahmed Hasan Maknazi,Defender,Iraq,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0
Ahmed Nadhir Benbouali,Forward,Algeria,1.0,0.0,0.12,0.0,1.0,0.0,1.0,1.0,0.0
Ahmed Qasem,Midfielder,Iraq,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0
Aiden O'Neill,Midfielder,Australia,0.0,0.0,0.02,0.0,3.0,3.0,5.0,15.0,0.0
Aimar Sher,Midfielder,Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aïssa Mandi,Defender,Algeria,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,0.0
Ajdin Hrustic,Midfielder,Australia,0.0,0.0,0.04,0.0,0.0,2.0,0.0,0.0,0.0
Akam Hashem,Defender,Iraq,0.0,0.0,0.03,0.0,4.0,0.0,2.0,7.0,0.0
Akmal Mozgovoy,Midfielder,Uzbekistan,0.0,1.0,0.07,0.0,1.0,1.0,2.0,4.0,0.0
Akram Afif,Forward,Qatar,0.0,0.0,0.09,0.0,0.0,4.0,1.0,8.0,0.0
Ala'a Al-Hejji,Midfielder,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Franco,Midfielder,Ecuador,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,0.0
Alan Minda,Forward,Ecuador,0.0,0.0,0.37,1.0,0.0,0.0,0.0,2.0,0.0
Alberto Quintero,Forward,Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alejandro Romero,Midfielder,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Aleksandar Pavlovic,Midfielder,Germany,0.0,0.0,0.4,0.0,2.0,2.0,3.0,10.0,0.0
Alessandro Circati,Defender,Australia,0.0,0.0,0.54,0.0,3.0,0.0,8.0,12.0,0.0
Alex Arce,Forward,Paraguay,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Alex Baena,Forward,Spain,1.0,0.0,0.19,0.0,0.0,3.0,2.0,3.0,0.0
Alex Sandro,Defender,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Zendejas,Forward,USA,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0
Alexander Bernhardsson,Forward,Sweden,0.0,0.0,0.04,0.0,2.0,1.0,5.0,10.0,0.0
Alexander Freeman,Defender,USA,1.0,1.0,0.34,0.0,4.0,3.0,6.0,6.0,0.0
Alexander Isak,Forward,Sweden,1.0,3.0,0.5,1.0,1.0,7.0,1.0,6.0,0.0
Alexander Prass,Midfielder,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alexander Schlager,Goalkeeper,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0
Alexander Sørloth,Forward,Norway,0.0,0.0,0.19,0.0,0.0,1.0,0.0,6.0,0.0
