team_id,team_name,manager
1,Mexico,Javier Aguirre
2,South Africa,Hugo Broos
3,South Korea,Hong Myung-bo
4,Czechia,Miroslav Koubek
5,Canada,Jesse Marsch
6,Bosnia and Herzegovina,Sergej Barbarez
7,Qatar,Julen Lopetegui
8,Switzerland,Murat Yakin
9,Brazil,Carlo Ancelotti
10,Morocco,Mohamed Ouahbi
11,Haiti,Sebastien Migne
12,Scotland,Steve Clarke
13,USA,Mauricio Pochettino
14,Paraguay,Gustavo Alfaro
15,Australia,Tony Popovic
16,Türkiye,Vincenzo Montella
17,Germany,Julian Nagelsmann
18,Curaçao,Dick Advocaat
19,Ivory Coast,Emerse Faé
20,Ecuador,Sebastián Beccacece
21,Netherlands,Ronald Koeman
22,Japan,Hajime Moriyasu
23,Sweden,Graham Potter
24,Tunisia,Sabri Lamouchi
25,Belgium,Rudi Garcia
26,Egypt,Hossam Hassan
27,Iran,Amir Ghalenoei
28,New Zealand,Darren Bazeley
29,Spain,Luis de la Fuente
30,Uruguay,Marcelo Bielsa
31,Saudi Arabia,Georgios Donis
32,Cape Verde,Bubista
33,France,Didier Deschamps
34,Senegal,Pape Thiaw
35,Norway,Ståle Solbakken
36,Iraq,Graham Arnold
37,Argentina,Lionel Scaloni
38,Algeria,Vladimir Petković
39,Austria,Ralf Rangnick
40,Jordan,Jamal Sellami
41,Portugal,Roberto Martínez
42,Colombia,Néstor Lorenzo
43,Uzbekistan,Fabio Cannavaro
44,DR Congo,Sébastien Desabre
45,England,Thomas Tuchel
46,Croatia,Zlatko Dalić
47,Ghana,Carlos Queiroz
48,Panama,Thomas Christiansen
