TEAM,MATCHES,GOALS,AVG_POS,xG,SHOTS,ON_TARGET,BCM,YELLOW_C,RED_C,FOULS
Mexico,4,8,48.0,4.73,50.0,16.0,5.0,2.0,1.0,44.0
South Africa,4,2,48.0,2.75,39.0,11.0,1.0,5.0,2.0,38.0
South Korea,3,2,63.0,4.11,32.0,11.0,6.0,4.0,0.0,25.0
Czechia,3,2,43.0,2.38,34.0,8.0,2.0,1.0,0.0,37.0
Canada,4,9,57.0,8.87,70.0,28.0,11.0,7.0,0.0,48.0
Bosnia and Herzegovina,4,5,46.0,2.12,37.0,14.0,2.0,7.0,1.0,60.0
USA,4,10,57.0,5.51,52.0,17.0,7.0,5.0,1.0,45.0
Paraguay,4,3,31.0,1.45,30.0,8.0,2.0,9.0,1.0,53.0
Qatar,3,2,33.0,1.59,17.0,6.0,3.0,4.0,2.0,36.0
Switzerland,4,9,57.0,8.82,56.0,23.0,10.0,3.0,0.0,47.0
Brazil,4,9,58.0,9.41,60.0,26.0,9.0,7.0,0.0,44.0
Morocco,4,7,62.0,7.5,59.0,21.0,10.0,2.0,0.0,47.0
Haiti,3,2,43.0,1.95,31.0,7.0,2.0,7.0,0.0,55.0
Scotland,3,1,44.0,2.6,29.0,7.0,4.0,5.0,0.0,42.0
Australia,4,3,41.0,2.92,42.0,12.0,0.0,5.0,0.0,46.0
Türkiye,3,3,66.0,6.54,71.0,16.0,9.0,2.0,0.0,31.0
Germany,4,11,66.0,8.33,74.0,28.0,8.0,3.0,0.0,51.0
Curaçao,3,1,32.0,1.41,29.0,7.0,0.0,7.0,0.0,32.0
Netherlands,4,11,53.0,5.48,46.0,22.0,1.0,3.0,0.0,44.0
Japan,4,8,46.0,4.26,34.0,13.0,3.0,4.0,0.0,55.0
Ivory Coast,4,5,50.0,5.54,45.0,14.0,6.0,4.0,0.0,29.0
Ecuador,4,2,56.0,5.87,53.0,20.0,9.0,8.0,1.0,49.0
Sweden,4,7,46.0,3.68,48.0,23.0,5.0,5.0,0.0,43.0
Tunisia,3,2,39.0,0.95,18.0,6.0,1.0,1.0,0.0,27.0
Spain,4,8,68.0,8.06,78.0,26.0,6.0,2.0,0.0,42.0
Cape Verde,4,4,37.0,2.94,49.0,12.0,2.0,5.0,0.0,27.0
Belgium,4,9,58.0,8.52,92.0,25.0,5.0,4.0,1.0,51.0
Egypt,4,6,55.0,5.11,62.0,16.0,6.0,8.0,0.0,48.0
Saudi Arabia,3,1,38.0,1.19,17.0,7.0,1.0,6.0,0.0,29.0
Uruguay,3,3,55.0,4.24,49.0,13.0,2.0,5.0,1.0,31.0
Iran,3,3,39.0,4.09,37.0,11.0,5.0,6.0,0.0,35.0
New Zealand,3,4,47.0,2.72,31.0,15.0,2.0,4.0,0.0,32.0
France,4,13,57.0,9.2,74.0,34.0,12.0,1.0,0.0,38.0
Senegal,4,10,56.0,8.84,69.0,23.0,10.0,3.0,0.0,36.0
Iraq,3,1,38.0,1.57,21.0,2.0,2.0,4.0,1.0,27.0
Norway,4,10,50.0,8.32,44.0,20.0,11.0,2.0,0.0,42.0
Argentina,4,11,60.0,8.01,56.0,25.0,7.0,3.0,0.0,46.0
Algeria,4,5,61.0,4.62,44.0,15.0,5.0,3.0,0.0,29.0
Austria,4,6,45.0,4.03,32.0,8.0,6.0,5.0,0.0,47.0
Jordan,3,3,31.0,1.85,24.0,9.0,1.0,4.0,0.0,31.0
Portugal,4,8,62.0,6.39,52.0,15.0,9.0,5.0,1.0,36.0
DR Congo,4,5,40.0,4.19,41.0,9.0,2.0,6.0,0.0,44.0
England,4,8,65.0,8.28,74.0,27.0,15.0,3.0,0.0,47.0
Croatia,4,6,50.0,4.11,40.0,17.0,6.0,4.0,0.0,45.0
Ghana,4,2,36.0,2.39,24.0,4.0,2.0,6.0,0.0,56.0
Panama,3,0,46.0,1.94,32.0,7.0,3.0,5.0,0.0,46.0
Uzbekistan,3,2,38.0,1.6,18.0,4.0,0.0,4.0,0.0,45.0
Colombia,4,5,60.0,6.33,79.0,27.0,10.0,6.0,0.0,49.0
