stadium_id,stadium_name,city,country
1,MetLife Stadium,New York,USA
2,AT&T Stadium,Dallas,USA
3,SoFi Stadium,Los Angeles,USA
4,Mercedes-Benz Stadium,Atlanta,USA
5,NRG Stadium,Houston,USA
6,Lincoln Financial Field,Philadelphia,USA
7,Lumen Field,Seattle,USA
8,Levi's Stadium,San Francisco Bay Area,USA
9,Gillette Stadium,Boston,USA
10,Arrowhead Stadium,Kansas City,USA
11,Hard Rock Stadium,Miami,USA
12,Estadio Azteca,Mexico City,Mexico
13,Estadio BBVA,Monterrey,Mexico
14,Estadio Akron,Guadalajara,Mexico
15,BC Place,Vancouver,Canada
16,Toronto Stadium,Toronto,Canada
